distributor,innovation,kanata,perry,richardson,tomax
OFFICE EFFECTS EZ SPECIALTY,,,,,1319.0
OFFICE SOURCE,0.0,,,,
OFFICEMAX,,,,,396.5
OFFICEMAX IMPRESS # 1953,0.0,,,,
OK,112473.0,,,,
OKLAHOMA BUSINESS FORMS INC,2410.0,,,,
OLYMPIA BUSINESS PRODUCTS,0.0,,,,
ON DEMAND PRESS,564.0,,,,
ON THE CUFF EMBROIDERY,,,,2177.91,
ONE,0.0,,,,
ONE SOURCE,407.0,,,,
ONE SOURCE GRAPHICS,598.0,,,,
ONE SOURCE PROMOTIONS,0.0,,,,
ONE STOP PRINTING,226.0,,,,
ONE2ONE MARKETING,0.0,,,,
ONLINE PROMOTIONS,159.0,,,,
OP OFFICEPRO SUPPLY,0.0,,,,
"OPTIONS LTD, INC",682.0,,,,
OPUS PROMOTIONAL PRODUCTS LLC,807.0,,,,
OSIYO COMMUNICATIONS,178.0,,,,
OUTBURST ADVERTISING,833.0,,,,
OUTERWEAR USA,,,27.0,0.0,
OUTSIDE THE BOX,1167.0,,,,
OVERALL RECOGNITION,,,,,0.0
P & B PRINT,0.0,,,,
P KELLY & ASSOCIATES,,,,,6683.5
"P-F UNLIMITED, INC",,,,,2614.5
"P-F UNLIMITED, INC.",1221.0,,,,
PAC (PERFORMANCE AWARD CTR INC),,,,,21002.85
PAC- PERFORMANCE AWARD CENTER,33645.0,,,,
PAGE INTERNATIONAL COMMUNICATI,14545.0,,,,
PAGE INTERNATIONAL COMMUNICATIONS,,,,,5420.4
PAGE INTERNATIONAL COMMUNICATIONS LLC,,,3813.0,,
PAGES PRINTING,176.0,,,,
PANDA EMBROIDERY,,,,80.75,
PAP/ KELLY A. CAUSEY,0.0,,,,
PAPER CONCEPTS,0.0,,,,
PAPER GRAPHICS PRINTING,277.0,,,,
PAPERCLIP PARTNER,,,,,603.78
PAPERCLIP PROMOTIONS,1953.0,,,,
PAPERCLIP PROMOTIONS LLC,,,96.0,,
PARACORD PLAZA,102.0,,,,
"PARAMAX, INC",0.0,,,,
PARAMOUNT EMBROIDERY,,,,149.11,
PARAMOUNT PROMOTIONS,0.0,,,,
PARAMOUNT PROMOTIONS INC,,,,3358.24,
PARK PLACE SPORTS & AWARDS,1065.0,,,,
PARKER BUSINESS FORMS,,,0.0,,
"PARKER BUSINESS FORMS, INC",5656.0,,,,
"PASADENA PRINTING, INC.",1271.0,,,,
PATRIOT ADVERTISING INC,153.0,,,,
PATS CREATIVE STITCHES,,,,3462.41,
PB UNLIMITED,,,,,0.0
PC PROMOTIONS,2792.0,,,32124.74,1481.0
PC PROMOTIONS LLC,,,5020.0,,
PCA SPORTSWEAR INC,,,0.0,,
PDS CORPORATE SALES,,,0.0,0.0,
"PDS CORPORATE SALES, LLC.",0.0,,,,
PDY INC,,,0.0,,
PEAK PROMOTIONS,1413.0,,,0.0,
PEAK PROMOTIONS LIMITED,444.0,,,,
PEAK PROMOTIONS/TEXAS,,,,,282.0
"PENGUIN SUITS,INC",161.0,,,,
PEPPER-L SPECIALTIES,25658.0,,,,
"PEPWEAR, LLC",960.0,,,,
PERFECT EMBROIDERY INC,,,11208.0,,
PERFECT STITCH EMBROIDERY,,,6041.0,,
PERFORMANCE AWARD CENTER,,,,42145.06,
PERFORMANCE AWARD CENTER INC,,,1890.0,,
PERKINS PROMOTIONS,2883.0,,,,
PERRY OFFICE PLUS,335.0,,,,
PERSONALIZED PROMOTIONS,0.0,,,,4573.0
PF UNLIMITED,,,,0.0,
PHILLIPS/FLINN,0.0,,,,
PHOENIX PRODUCTIONS & PROM.,,,,,0.0
PIERCY ASSOCIATES,0.0,,,,765.5
PING PING PROMOTIONS,0.0,,,,
"PINNACLE GRAPHICS, INC.",0.0,,,,
PINNACLE PROMOTIONS,670.0,,2100.0,,
PINPOINT MONOGRAMS,663.0,,,,
PINPOINT MONOGRAMS INC,,,,1002.03,
PIONEER NATURAL RESOURCES,0.0,,,,
PK PROMOTIONS,,,1641.0,,
PK PROMOTIONS LLC,0.0,,,,
"PL, WEST , INC.",0.0,,,,
PLANET SIGNS,0.0,,,,
PMD MARKETING INC.,653.0,,,,
PMK INTERESTS LP,,,40601.0,,
POINT DIGITIZING,1125.0,,,0.0,
POMARANTZ & ASSOCIATES,572.0,,,,
POPULAR EMBROIDERY DESIGNS,0.0,,,,
POST OAK GRAPHICS,0.0,,,,
POSTNET,0.0,,,,
POSTNET TX225,0.0,,,,
POTENZA PROMOTIONS LLC,517.0,,,,
POW INC DBA GOLD TOUR SHOP-DAL,335.0,,,,
POWER ON PROMOTIONS,,,,,341.0
POWER PRINT/ABILITY FIRST,316.0,,,,
PPG ENTERPRISES INC,,,117.0,,
PRAIRIE PRODUCTION COMPANY,252.0,,,,
PREFERRED BUSINESS SOLUTIONS,254.0,,,,
PREMIER ADVERTISING LLC,759.0,,,,
"PREMIER SAFEGUARD, INC",349.0,,,,
PREMIERE PRESS AND GRAPHICS,566.0,,,,
PRESS LINK,1513.0,,,,
PRESSMAN PRINTING INC,0.0,,,,
PRICE PROMOTIONAL PRODUCTS LLC,216.0,,,,
PRIMARK INC.,0.0,,,,
PRIME PRINTING & PROMOTIONS INC,,,,0.0,
PRIME TIME GRAPHICS,,,,0.0,
"PRINT ABILITIES, LLC",0.0,,,,
PRINT CITY.COM,0.0,,,,
PRINT IMAGING GROUP,0.0,,,,
PRINT RITE INC,1507.0,,,,
PRINT SYNERGIES,2669.0,,,,
PRINT TEAM PRODUCTION PARTNERS,1177.0,,,,
PRINT TO SUIT INC,,,,698.98,
"PRINTED SUPPLIES,INC.",3025.0,,,,
PRINTED THREADS,540.0,,,,
PRINTGLOBE,19368.0,,,,
PRINTGRITY,0.0,,,,
PRINTING & MARKETING SOLUTIONS,0.0,,,,
PRINTING X-PRESS,0.0,,,,
PRO DISTRIBUTING,0.0,,,,
PRO GRAPHICS INC,,,433.0,,
PRO MO STUF,,,,,7200.26
PRO MO STUFF,172.0,,,,
PRO-MOTIONS/GRAFF-X,1585.0,,,,
"PROAD, INC",2738.0,,,,
PRODUCTOS LUCKY,144.0,,,,
PROFESSIONAL CONCEPTS ADVERT,924.0,,,,
"PROFESSIONAL CONCEPTS, INC.",1066.0,,,,
PROFESSIONAL PROMOTIONS/MEEKS,894.0,,,,
PROFESSIONAL SPEC & INCENTIVES,4224.0,,,,
PROFESSIONAL SPEC. & INCENTIVE,,,,,26901.45
PROFESSIONAL SPECIALTIES & INCENTIVES IN,,,0.0,,
PROFORM PRINTING AND PROMOS,0.0,,,,
PROFORMA,0.0,,,,
PROFORMA A-Z SPECIALTIES,512.0,,,,
PROFORMA ANGELINI & ASSOCIATES,829.0,,,,
PROFORMA BIG TIME BRANDING,,,0.0,,
PROFORMA BRAND PERFROMANCE,0.0,,,,
PROFORMA BRAND PROFORMANCE,,,,1499.46,
PROFORMA COMPLETE PROMOTIONS,,,12575.0,4413.11,
PROFORMA CREATIVE BUSINESS PRODUCTS,,,0.0,,
PROFORMA CREATIVE PROMOTION,0.0,,,,
PROFORMA CUSTOM PRODUCTS,250.0,,,,
PROFORMA DESERT PROMOTIONS,0.0,,,,
PROFORMA DESIGN MANAGEMENT,591.0,,,0.0,
PROFORMA DIAMOND B PROMOTIONS,1572.0,,,,
PROFORMA DIAMOND SOLUTIONS,,,,0.0,
PROFORMA DIVERSIFIED CORPORATE,193.0,,,,
PROFORMA DIVINE CORPORATE SUPP,0.0,,,,
PROFORMA EAST TEXAS BUSINESS PRINTING,,,,0.0,
PROFORMA ELITE TEXAS GRAPHICS,1175.0,,,,
PROFORMA EXTRAORDINARY PROMO,749.0,,,,
PROFORMA FAITH MKTG SOLUTIONS,1195.0,,,,
PROFORMA FOCUSED SOLUTIONS,0.0,,,,
PROFORMA FRANKLIN GRAPHICS,0.0,,,,
PROFORMA GREEN MARKETING,195.0,,,,
PROFORMA INC,,,,,1607.5
PROFORMA INFO PROS,0.0,,,,
PROFORMA M.A.C MKTG,0.0,,,,
"PROFORMA MAIN GROUP, INC",0.0,,,,
PROFORMA MEDIA & PRINT SOLUTIO,14905.0,,,,
PROFORMA MVP MARKETING,,,,1506.0,
PROFORMA MYCO PRINT SOLUTIONS,0.0,,0.0,0.0,
PROFORMA PATTON PROMOTIONAL,0.0,,,,
PROFORMA PRINTMOTIONS,0.0,,,,
PROFORMA PROFESSIONAL BUSINESS,0.0,,,,
PROFORMA PROMOTIONAL PRODUCTS,0.0,,,,
PROFORMA PROMOTIONS GROUP,0.0,,,,
PROFORMA PROMOTIONS REMEMBERED,2121.0,,,,
PROFORMA QUICKSILVER PROMOTION,0.0,,,,
PROFORMA RIGHT CHOICE BRANDING,0.0,,,,
PROFORMA ROSS MARKETING GROUP,649.0,,,,
PROFORMA SIMONETTA FREELANCE,0.0,,,,
PROFORMA SNAP MARKETING,588.0,,,,
PROFORMA SPECIALTY MARKETING,0.0,,,,
PROFORMA TACABU,,,,577.32,
PROFORMA/ BOSS PROMO,1004.0,,,,
PROGRAPHICS INC,226.0,,,,
PROJECT PROMOTIONS,1074.0,,,,
PROLINE SUPPLY COMPANY,559.0,,,,
PROLINE SUPPLY COMPANY INC,,,5301.0,,
PROLINE SUPPLY COMPANY INC.,,,,15.07,
PROMIUMS,0.0,,,,
PROMO CONNECTION PROMOTIONAL PRODUCTS,,,0.0,,
PROMO GIFTS LLC,0.0,,,,
PROMO PLANET,9140.0,,,2712.86,
PROMO PROS,0.0,,,,
PROMO RESOURCES,0.0,,,,
PROMO WORLD LLC,,,,5604.87,
PROMOCONNECTION PROMOTIONAL,1054.0,,,,
PROMOPLUS LLC,628.0,,,,
"PROMOPUNCH, LLC",0.0,,,,
PROMOS ADVERTISING PRODUCTS,798.0,,,,
PROMOSPLUS,0.0,,,,
PROMOTE 2 WIN ADVERTISING,550.0,,,,
PROMOTE IN TANDEM,0.0,,,,
PROMOTIONAL EDGE,0.0,,,,
PROMOTIONAL GRAFFITI,707.0,,,,
PROMOTIONAL IMAGE,,,,0.0,
PROMOTIONAL MARKETING WITH TLC,0.0,,,,
PROMOTIONAL MARKETPLACE,0.0,,,,
PROMOTIONAL MERCHANDISE.COM,1364.0,,,,
PROMOTIONAL PRODUCT PARTNERS,,,,,0.0
PROMOTIONAL PRODUCTS ASSOC.,0.0,,,,
PROMOTIONAL PRODUCTS CO INC,,,132.0,,
PROMOTIONAL PRODUCTS CO. INC.,,,,,1559.0
"PROMOTIONAL RESCUE, INC.",0.0,,,,
PROMOTIONAL RESOURCE GROUP,704.0,,,,
PROMOTIONAL SPECIALTIES,1162.0,,,,
PROMOTIONS AT WORK INC.,,,,,0.0
"PROMOTIONS AT WORK, INC.",0.0,,,,
PROMOTIONS ETC.,0.0,,,,
PROMOTIONS IN PRINT,1224.0,,,,
PROMOTIONS WITH A PURPOSE,324.0,,,383.62,0.0
PROMOTIONS WITH A PURPOSE LLC,,,-24.0,,
PROMOTIONS-FORMS UNLIMITED INC,,,1436.0,,
PROMOTIT PROMOTIONS LLC,732.0,,,,
PROMOWORLD INC,154.0,,,,
PROMOWORLD LLC,,,2003.0,,
PRONTO! PROMOTIONS,,,1035.0,,
"PRONTO! PROMOTIONS, INC.",0.0,,,,
PROPLAN.IT,0.0,,,,
PROSERV BUSINESS PRODUCTS,366.0,,,,
PROSERV BUSINESS PRODUCTS LLC,,,2648.0,,
"PROSERV BUSINESS PRODUCTS, LLC",0.0,,,,6144.5
PROSOURCE PROMOTIONS,350.0,,,,
PROSOURCE SPECIALTIES,4368.0,,,,
PROSPER MARKETING GROUP,2327.0,,,,
PROSPER MARKETING GROUP INC,,,,316.4,
PS PROMOTIONS,5423.0,,,,
PUCKETT PRO INC,,,,0.0,
"PUCKETTPRO, INC.",613.0,,,,0.0
PUKKA IDEAS,0.0,,775.0,,550.4
PYRON'S PRINTING,0.0,,,,
Pepper L Specialties,,2416.8,,,
"Performance Award Center, Inc (P)",,5964.39,,,
Presslink Printing,,4764.97,,,
Proforma (P),,4156.61,,,
Proserv Business Products (H),,243.25,,,
QSP PROMOTIONAL,,,,215.4,
QSP PROMOTIONAL ADVERTISING,802.0,,,,
QTI APPAREL & PROMOTIONS,1645.0,,473.0,,
QTI PROMOTIONS & APPAREL,,,,491.5,
QUACKER BOX CREATIONS LTD,,,552.0,,
QUACKERBOX CREATIONS,1277.0,,,,
QUALIGRAPHICS INC.,,,,,0.0
QUALITY CUSTOM PRODUCTS,0.0,,,,
"QUALITY GRAPHICS, INC",703.0,,,,
QUALITY PROMOTIONS,0.0,,,,
QUANTUM FORMS,590.0,,449.0,,
QUANTUM FORMS CORPORATION,,,,,413.6
QUEST PROMOTIONS,0.0,,,,
QUICK SIGNS,,,,0.0,
Quantum Forms (P),,17335.0,,,
"R & C PRINTING CO, INC",822.0,,,,
R & R PRINTING & GRAPHICS,,,,0.0,
R AND R SCREEN GRAPHICS,,,,0.0,
R.G. ENTERPRISE,1176.0,,,,
RACSO LLC,,,,198.0,
RAINBOW ADV. & EMBROIDERY,0.0,,,,
RALPH WHITE MERCHANDISING INC,,,8817.0,45483.84,
RANCH ROAD DESIGN & PRINTING,851.0,,,,
RAO COMPANY,671.0,,,,
"RATL, INC.",0.0,,,,
RAYNOR & ASSOCIATES,0.0,,,,
READY PRINT,0.0,,,,
"RECOGNITION CONCEPTS, INC.",1484.0,,,,
RECOGNITION PLACE,0.0,,,,
RED 8 MARKETING,0.0,,,,
RED DOG STUDIOS,1086.0,,,,
RED DOG STUDIOS INC,,,,1226.38,
RED LEAF PROMOTIONS,0.0,,,,
"RED PEPPER PRODUCTIONS, INC.",0.0,,,,
RED RIVER PROMOTIONS,0.0,,,,
RED STAPLER LLC,,,0.0,,
REDMAN I AM PROMOTIONS,754.0,,,,
REFLECTION PRINTING,0.0,,,,
REGENCY OFFICE & PROMOTIONAL,718.0,,,,
REGENCY PLAZA PRINTING,,,0.0,,
RELIANT BUSINESS PRODUCTS,752.0,,,,
RELIANT BUSINESS PRODUCTS INC.,,,,,399.0
REMEDY GRAPHICS,0.0,,,,
RENO INDUSTRIES COMPANY LLC,,,,0.0,
REPUBLIC PRINT AND MAIL,0.0,,,,
REPUBLIC PROMOS,0.0,,,,
RESOURCE PRINT MANAGEMENT,0.0,,,,
RESULTS ONLINE INC.,4689.0,,,,
RI-JOOV SPECIALTIES,0.0,,,,
RICHARD K OLSON,,,0.0,,
RICK OLSON ADVERTISING,1162.0,,,3261.45,
RICOCHET PROMOTIONS,129.0,,,,
RIGBA INTERNATIONAL,,,,,0.0
RILEY CREATIVE GRP OF HOUSTON,0.0,,,,
RISINGHILL MARKETING,3582.0,,,,
RIVER CITY SPORTSWEAR,771.0,,,,
RMG APPAREL CORP.,0.0,,,,
RMS,0.0,,,,
ROADRUNNER PROMOTIONS,,,,195.56,
ROAR CREATIVE,756.0,,,,
ROBIN'S PROMOS,641.0,,,,
ROBINSON PRINTING GROUP LLC,275.0,,,,
ROBYN INC,,,9976.0,,
ROBYN PROMOTIONS,,,,125.37,3038.2
ROBYN PROMOTIONS AND PRINTING,4864.0,,,,
ROCCA PRODUCTIONS,2425.0,,,,
ROCK AND SOUL LLC,,,,3513.91,
"RON MONTGOMERY & ASSOCIATES, I",426.0,,,,
ROSS MARKETING GROUP,,,0.0,,
ROY LOWN INC.,638.0,,,,
RPV PRINTING INC,0.0,,,,
RRC/ THE ROB RICHEY CO.,314.0,,,,
RSI,961.0,,,,
RT & ASSOC.,545.0,,,,
RX PROMOS,0.0,,,,
Robyn Promotions & Printing (P),,3355.12,,,
S & S PRINTING SERVICES,303.0,,,,
"S & S TEXTILES, INC.",0.0,,,,
S K SPECIALTIES,0.0,,,,
S&S DESIGNS,0.0,,,,
S&W PROMOTIONS INC,0.0,,,,
S.H. GLOBAL PROMOTIONAL ADV,159.0,,,,
SABRE TECHNOLOGIES LP,,,0.0,,
SAFEGUARD,0.0,,,0.0,119.25
SAFEGUARD BUSINESS SYSTEM,386.0,,,,
SAFEGUARD BUSINESS SYSTEMS INC,,,1304.0,,1031.5
SAFEGUARD UNIVERSAL,2325.0,,,,
SAFETYCO LLC DBA RATCLIFF INK,749.0,,,,
"SAN SABA CAP, INC",734.0,,,,
SANTANA'S PROMOTIONS & SPEC,375.0,,,,
SAUDER & DAUGHTER,0.0,,,,
SCARBOROUGH SPECIALTIES,1539.0,,,,
SCARBOROUGH SPECIALTIES INC,,,15764.0,55091.24,
"SCARBOROUGH SPECIALTIES, INC.",,,,,5460.6
SCHAEFER & ASSOCIATES,0.0,,,,
SCHULENBURG PRINTING,,,,2522.5,
SCM PROMOS,2259.0,,,,
SCOTT'S PRINTING & COPYING,0.0,,,,
SDB CREATIVE GROUP,0.0,,,,
SELECTIONS PROMOTIONAL PRODUCT,1890.0,,,,
SELECTIONS PROMOTIONAL PRODUCTS,,,,,0.0
SELLINGER'S POWER GOLF,112.0,,,,
SHAMROCK BUSINESS SOLUTIONS,1037.0,,,,
SHAMROCK PROMOTIONS,308.0,,,,
SHARP IMPRESSIONS       TX,644.0,,,,
SHARPER IMPRESSIONS INC,0.0,,,,
SHELBY'S SPECIALTIES,1908.0,,36.0,,
SHELTON SPECIALTIES,,,0.0,,
"SHELTON SPECIALTIES, INC.",1159.0,,,,
SHIMMER TEES LLC,,,1709.0,,
SHINE ON PROMOTIONS,0.0,,,,
SHIRTS CAPS AND MORE,0.0,,,,
SHIRTSMART LOGO APPAREL & PROM,2134.0,,,,
SIGN SOLUTION,,,,,145.0
SIGNATURE PROMOTIONS,,,,450.1,
SIGNDESIGN,260.0,,,,
"SIGNS INN, LLC",0.0,,,,
SILVERLEAF SERVICES,95.0,,,,
SIMPLY SMARTER TECHNOLOGIES INC,,,108.0,,
SIMPLY WE,4353.0,,,,
SIR SPEEDY PRINTING & MARKTG,0.0,,,,
SKIDDEM SCREENPRINTING,152.0,,,,
SKSW,0.0,,,,
"SKYLINE ADVERTISING, INC.",,,,,30.0
SKYLINE EMBROIDERY,,,,936.87,
SLECHTA  ENTERPRISES,,,3278.0,,
SLECHTA ENTERPRISES,0.0,,,,
"SLPC, INC. DBA SUNLINE PRODUCT",0.0,,,,
SMART PROMOTIONAL,260.0,,,,
SMART START INC,0.0,,,,
SMARTER MEDIA,711.0,,,,
"SMITH DRYDEN, LLC",5932.0,,,,
SOLUTIONS ETC,236.0,,,,
SOLUTIONS PRINTED,2800.0,,,,
SOUTH COAST PRINTING & PROMO.,3787.0,,,,
SOUTH POINTE ADV,,,48480.0,,
SOUTH POINTE ADVERTISING LLC,,,,1417.5,
SOUTH SHORE,0.0,,,,
SOUTHLAKE LOGO,,,0.0,,
SOUTHWEST DATA CORP,,,,0.0,
SOUTHWEST DATA CORPORATION,,,550.0,,
SOUTHWEST DATA CORPORATION **,165.0,,,,
SOUTHWEST PRECISION PRINTERS,724.0,,,,
"SOUTHWEST PRECISION PRINTERS, LP.",,,,,0.0
SOUTHWEST PROMOTIONS,0.0,,,,
SOUTHWEST SALES PROMOTION,,,,3875.37,
SOUTHWEST SALES PROMOTIONS CO,2757.0,,,,
SOUTHWEST SPECIALTIES,466.0,,,,
SPC OFFICE PRODUCTS,701.0,,,,
SPEAR ONE PRODUCTIONS,701.0,,,,
SPECIAL AFFEX,780.0,,,,
SPECIAL OPS UNIFORMS INC,,,,2529.19,
SPECIAL TEES,252.0,,,,
SPECIALTY ADVERTISERS,829.0,,,,
SPECIALTY EXPRESS INC.,0.0,,,,
SPECTRA TECH IND,,,2865.0,,
SPECTRUM CORP,956.0,,,,
SPECTRUM CORPORATION,,,0.0,,
SPECTRUM PRINTING & PROMOTIONS,9102.0,,,,9817.46
"SPEEDY'S T'S & MOR, LLC",0.0,,,,
SPINNER PRINTING,992.0,,,,
SPINNER PRINTING CO.,,,,,1407.6
SPIRIT CREATIONS,0.0,,,,
SPIRIT STORES USA,,,,3213.15,
SPIRIT SUPPLY STORE,0.0,,,,
SPLASH PRINT,,,0.0,,
SPORTEE INK! CORPORATION,0.0,,,,
SPORTS PRODUCTIONS,0.0,,,,
SPOTFROG,4174.0,,,,
STANDARD REGISTER,,,4669.0,,
STANDING OVATIONS,,,,0.0,
STANLEY M DAVID & ASSOC,,,,1319.08,
STANLEY M DAVID & ASSOC INC,,,0.0,,
STANLEY M. DAVID & ASSOC. INC.,,,,,578.0
"STANLEY M. DAVID & ASSOC.,INC.",3669.0,,,,
STAPLES PROMOTIONAL PRODUCTS,,,182.0,,
STAR BUSINESS PRODUCTS,0.0,,,,
STAR EMBROIDERY,,,,5826.31,
STAR PROMOTIONAL PRODUCTS,454.0,,0.0,5346.73,1743.0
STEPHEN JOSEPH INC,,,,0.0,
STEVENS SPECIALTIES,461.0,,,,
STEWARD PROMO & PACKAGING,199.0,,,,
STEWART PROMOTIONAL PRODUCTS,0.0,,,,
STIKL & ASSOCIATES,188.0,,,,
STILLWATER SCREEN & EMBROIDERY,0.0,,,,
STILLWATER SCREENPRINTING,,,,0.0,
STINGRAY WORLDWIDE,1021.0,,,,
STITCH GALLERY,0.0,,,,
STITCH N PRINT INC,,,,0.0,
STITCHES AHEAD,,,,555.05,
STITCHES TO A T,,,,123.74,
STONE ENTERPRISES,182.0,,,,
STORYTELLER PROMOTIONS,0.0,,,,
STOUT IMAGES INC,,,,15940.79,
STOUTIMAGES,0.0,,,,
"STS SALES, CO.",0.0,,,,
SUMMIT MARKETING/BARKLEY HOUSE,1247.0,,,,
SUMMIT PROMOTIONS INC,,,0.0,,
"SUNBELT BUSINESS GRAHICS, INC",0.0,,,,
SUNLINE PRODUCTS,,,,706.81,
SUNSHINE SPECIALTIES,0.0,,,,
SUPERIOR IMAGE SPORTSWEAR,0.0,,,,
SUREFIRE PROMOTIONS,0.0,,,,
SUSAN PERRENOT,,,2305.0,,
SWAG NECESSITIES,0.0,,,,
SWAGHOUND.COM,0.0,,,,
SYNCO,178.0,,,,
Safeguard Business Systems (P),,0.0,,,
Salt Seervices LLC,,1360.92,,,
Scarborough Specialties Inc(P),,14723.57,,,
SmithDryden,,5276.0,,,
Standard Register/WorkflowOne (P),,5482.25,,,
Staples (P),,8160.89,,,
T S & H SHIRT COMPANY INC,,,,707.08,
T SHIRT WORKS,302.0,,,,
T WEAVER ENTERPRISES,576.0,,,,
T-SHIRTS ETCETERA,0.0,,,,
T. KAYOE SCREENPRITING & EMBRO,0.0,,,,
T3 PROMOTIONS,0.0,,,,
TAABS INC,,,,9928.06,
TAABS PRINTING,0.0,,,,
TACABU LLC,,,0.0,,
TACK DESIGNS,0.0,,,,
TACK DESIGNS LLC *DO NOT USE*,0.0,,,,
TAG MARKETING LTD,,,,0.0,
"TAG MARKETING, LTD.",4474.0,,,,
TAM PROMOTIONS,252.0,,,,
TASB,0.0,,,,
TAT COMPANY,1869.0,,,,
TAYLORMADE GRAPHIX LLC,305.0,,,,
TBA PROMOTIONS,463.0,,,,
TBD SALES INC,,,0.0,3052.67,
TCB SPECIALTIES,1322.0,,,,0.0
TCT PROMOTIONS LLC,,,962.0,,
"TCW DESIGN, INC.",0.0,,,,
TDG CREATIVE,,,3290.0,,
TDG Creative,,2905.39,,,
TEAM OUTFITTERS,0.0,,,,
TEAM T,99.0,,,,
TECHNOLOGY MEDIA GROUP,229.0,,,,
"TEJAS OFFICE PRODUCTS, INC",0.0,,,,
"TEKNA THERMOGRAFIX, LLC",175.0,,,,
TEX STYLES,253.0,,,,
TEX STYLES INTERNATIONAL,,,,1133.74,
TEXAS AD PRINT,,,,435.5,
TEXAS ARMO OF LOVE INC,,,0.0,,
TEXAS ASSO. OF FREESTAND,465.0,,,,
TEXAS BRANDERS PRINTING & PROM,0.0,,,,
TEXAS CONTRACT EMBROIDERY CO.,,,,1069.69,
TEXAS LAKE COUNTRY PROMOTIONS,1030.0,,,,
TEXAS SPORTSWEAR SPEC.,5959.0,,,,
TEXAS TAPE AND LABEL,,,,,210.5
TEXOMA PRINT SERVICE,916.0,,,,
TEXOMA PRINT SERVICES,,,,,0.0
TEXPRINT,0.0,,,,
TGI ENTERPRISES INC,2462.0,,,,
THARP'S PRINTING SERVICES,0.0,,,,
THE AD PLACE,0.0,,,,
THE AMPERSAND GROUP LLC,,,10374.0,,
THE BRAND COMPANY,203.0,,,,
THE BRITTAIN COMPANY,,,190.0,,
THE CAPRON CORPORATION,986.0,,,,
THE CLOWERS CO.,1318.0,,,,
THE CLOWERS COMPANY,,,,1888.71,120.0
THE CORSER GROUP INC.,0.0,,,,
THE DANIEL GROUP,249.0,,,,
THE DAVIS INCENTIVE GROUP,0.0,,,,
THE DESIGN GROUP,596.0,,,,
THE DOCUMENT CENTRE,412.0,,,,
THE DOCUMENT GROUP,0.0,,,,
THE DONNA  R. BENDER,,,,,7191.1
THE EMBROID IT COMPANY,,,3652.0,,
THE EMBROIDERY SHOP INC,,,601.0,,
THE FINER THINGS,3814.0,,,752.04,10095.16
THE FOWLER GROUP INC,0.0,,,,
THE HOMER **DO NOT USE**,0.0,,,,
THE IDEA SOURCE,1343.0,,,,
THE IDEA SOURCE INC,,,5572.0,,
THE IMAGE GROUP,0.0,,,,
THE J PAUL COMPANY,,,0.0,5295.44,19706.03
THE JL PITTS COMPANY,,,,5907.48,
THE LARYAT COMPANY,500.0,,,34513.98,
"THE LOEHR GROUP, LLC",0.0,,,,
THE MAIN EVENT INC,0.0,,,,
THE MCCRELESS COMPANY,812.0,,,,
"THE MCKENNA GROUP, LLC.",0.0,,,,
THE MERLYN COMPANY,1436.0,,,,
THE ODEE COMPANY,5015.0,,,708.96,
"THE ORIGINAL IMAGE, INC.",0.0,,,,
THE OUTHOUSE DESIGN SCREENPRIN,281.0,,,,
THE OVERALL OFFICE,0.0,,,,
THE PAYTON GROUP,,,,1783.14,
THE PAYTON GROUP SPECIALTY ADV,818.0,,,,
THE PERFECT SOLUTION,0.0,,,,
THE PERSONAL TOUCH,0.0,,,,
THE PRESTIGIOUS MARK,6163.0,,,,
THE PRESTIGIOUS MARK INC,,,,,0.0
THE PRINTERSOF OKLAHOMA LLC,0.0,,,,
THE PROMO DUDE,281.0,,,,
THE RICHEY COMPANY,11090.0,,,493.69,0.0
THE SOURCE MARKETING PRODUCTS,529.0,,,,
THE SPECIALTY HOUSE,0.0,,,,
THE SPILLMAN GROUP,0.0,,,,
THE TOTAL SOURCE,,,216.0,,0.0
THE TOTAL SOURCE/ DATA PRO  TX,4114.0,,,,
THE VENTURE CORPORATION   TX,0.0,,,,
THE VERNON COMPANY,,,995.0,,
THE WRIGHT TOUCH,,,,0.0,
THE YOU NAME IT SHOP,0.0,,,,
THOMAS GRAPHICS,727.0,,,,
THOMPSON PRINT SOLUTIONS,8529.0,,,,
THREADS CUSTOMIZED,,,,5919.4,
THREADS IN MOTION,,,,373.0,
THREADTECH,461.0,,,,
"TI TROPHIES, INC",266.0,,,,
TIC TOC,,,,,0.0
TIC TOC                    TX,11785.0,,,,
"TIMA BRANDS, INC",312.0,,,,
TJ SANDERS GROUP,1038.0,,,,10962.2
TJ SANDERS GROUP LLC,,,2291.0,2094.64,
TK PRINTSHOP,,,,,172.5
TLC ADCENTIVES LLC,164.0,,,,2672.0
TMG SPORTSWEAR,0.0,,,,
TMJ ENTERPRISES,650.0,,,,1050.0
TMTA SERVICES,413.0,,,,
TNT PRINT INC,0.0,,,,
TNT PROMOTIONS LLC,621.0,,,,-305.1
TODAY'S PRINT RESOURCE,308.0,,,,
TOM'S PINS.COM INC,211.0,,,,
TOP 2 BOTTOMMARKETING,0.0,,,,
TOTALLY SHARP,,,,0.0,
TOUCAN GRAPHICS,610.0,,,,
TOWNSEND MKTG INC.,917.0,,,,
TRACERY'S CONCEPT & DESIGN,0.0,,,,
TRADEMARKS PROMOTIONAL PROD.,6213.0,,,,
TRADEMARKS PROMOTIONAL PRODUCT,,,,7564.32,3719.18
